Naam,Ondernemingsnummer
RSVK Midden West-Vlaanderen vzw,465 806 965
RSVK Veurne Diksmuide vzw,473 467 490
RSVK Waregem vzw,866 501 988
RSVK Westkust vzw,473 371 876
SVK Antwerpen vzw ,459 601 836
SVK De Poort vzw,432 220 320
SVK De Woonkans vzw,865 013 039
SVK Hageland vzw,884 212 804
SVK Het Sas vzw,465 953 950
SVK Het Scharnier vzw,881 602 118
SVK Houtvast vzw,825 432 287
SVK ISOM vzw,845 373 212
SVK Laarne-Wetteren-Wichelen vzw,460 396 246
SVK Land van Loon vzw,467 866 236
SVK Maasland vzw,454 916 538
SVK Mechelen vzw,865 010 069
SVK Meetjesland vzw,467 845 054
SVK Midden-Limburg vzw,896 662 060
SVK Noorderkempen vzw,451 934 183
SVK Noord-Limburg vzw,877 970 259
SVK OCMW Destelbergen,geen apart ondernemingsnummer want dienst van het OCMW
SVK OCMW Drogenbos,geen apart ondernemingsnummer want dienst van het OCMW
SVK OCMW Essen ,geen apart ondernemingsnummer want dienst van het OCMW
SVK OCMW Kruishoutem,geen apart ondernemingsnummer want dienst van het OCMW
SVK OCMW Wemmel,geen apart ondernemingsnummer want dienst van het OCMW
SVK Onderdak vzw,473 360 790
SVK Optrek vzw,470 301 431
SVK Regio Roeselare vzw,886 432 025
SVK Sovekans-Leefbaar Wonen vzw,473 218 755
SVK Spit vzw,466 135 478
SVK Webra vzw,464 273 870
SVK Woonkoepel vzw,870 594 004
SVK WoonregT vzw,458 059 536
SVK Woonsleutel vzw,475 559 128
SVK Woonweb vzw,898 504 565
SVK Zuiderkempen vzw,464 737 985
SVK Zuidkant vzw,838 248 858
SVK Zuid-Oost-Vlaanderen vzw,468 145 061
SVK-vereniging Bredene-Oostende,479 985 593
SVK-vereniging Brugge,860 256 673
SVK-vereniging Gent,212 214 125
SVK-vereniging Jogi,873 440 458
SVK-vereniging Leie en Schelde,885 714 720
SVK-vereniging regio Izegem,466 193 777
SVK-vereniging Waasland,212 171 860
SVK-vereniging Ww Knokke-Heist,865 506 155
SVPWL vzw,451 947 348
Woonaksent vzw,464 800 343
